"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5421","TC_22_VHR_Upsell_Text_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4859","TC_06_Preview_Page_Plan_Selection_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","9662","TC_01 VIN decode verify","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","55326","TC_07_Exit_Intent_Popup_Trigger_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","11549","TC_07_Exit_Intent_Popup_Trigger_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5588","TC_06_Preview_Page_Plan_Selection_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5404","TC_23_Sticker_Upsell_Text_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","87642","TC_15_Classic_Editible_Specs_Update","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2835","TC_20_Default_Plan_Checking","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","49681","TC_22_VHR_Upsell_Text_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6846","TC_05_Window_Sticker_Revisit_Banner_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","30427","TC_14_Classic_Manual_Input_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","25832","TC_17_EU_VIN_Confirmation_No","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","49226","TC_06_Preview_Page_Plan_Selection_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3722","TC_02_VIN_Decode_Classic_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4605","TC_05 Low to High Coupon swap validation","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","53107","TC_14_Classic_Manual_Input_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6850","TC_23_Sticker_Upsell_Text_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","51916","TC_17_EU_VIN_Confirmation_No","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2922","TC_02_VIN_Decode_Classic_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","62234","TC_04_VHR_Revisit_Banner_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","160","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","24207","TC_14_Classic_Manual_Input_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","49666","TC_23_Sticker_Upsell_Text_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","49458","TC_22_VHR_Upsell_Text_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","23052","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5422","TC_01_VIN_Decode_17_Character_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
